,Open,High,Low,Close,Volume,Date,VWAP,RSI,MACD,EMA,Target,TargetClass
93,650.05,659.0,645.05,651.55,29877.0,2003-05-19,640.0289523363588,39.377490883352365,-19.56366555598015,652.9291390200161,651.45,0
94,664.0,664.0,645.0,651.45,22870.0,2003-05-20,641.7320289547761,39.33467107596298,-18.309656190189344,652.731920484014,652.9,1
95,658.0,658.0,648.05,652.9,53587.0,2003-05-21,643.5495485944427,40.347596110958236,-17.03610236914733,652.7543310861455,649.65,0
96,640.0,653.7,630.0,649.65,33642.0,2003-05-22,644.0844711589403,38.78446780691546,-16.061017769923524,652.3404202746594,653.85,1
97,663.0,663.0,645.05,653.85,36896.0,2003-05-23,645.6124333896842,41.91618617673171,-14.856193021860918,652.5416975713715,652.7,0
98,664.95,664.95,648.5,652.7,83797.0,2003-05-26,647.3695850642389,41.29326439021885,-13.82143840425772,652.5628045618553,649.35,0
99,662.95,662.95,647.0,649.35,50941.0,2003-05-27,648.0200409003909,39.453877440008576,-13.075036968864993,652.1344306202747,660.8,1
100,638.2,681.0,638.2,660.8,120344.0,2003-05-28,650.6865196747088,47.98266581842562,-11.615526505190815,653.2898398709048,668.15,1
101,662.0,674.95,659.0,668.15,125846.0,2003-05-29,653.758618800385,52.5985912812761,-9.857939657442671,655.2711945547842,684.65,1
102,675.0,689.0,670.0,684.65,76123.0,2003-05-30,657.0712040906226,60.971460124511154,-7.287032204133993,659.1883686141463,704.9,1
103,690.0,714.9,690.0,704.9,122152.0,2003-06-02,663.7359687464565,68.35843693203253,-3.8421203767134102,665.2832527989268,723.95,1
104,707.15,727.2,707.15,723.95,127821.0,2003-06-03,672.7153456058049,73.44953240615581,0.19910383692217692,673.1054857590699,718.75,0
105,727.0,744.65,711.4,718.75,107895.0,2003-06-04,679.4497573562079,70.13238356594194,3.1234102360908764,679.1914209911939,723.4,1
106,727.8,730.9,716.2,723.4,67545.0,2003-06-05,683.0965781867131,71.37724674853064,5.7536123169275015,685.0858981923682,720.2,0
107,725.15,730.0,717.0,720.2,82830.0,2003-06-06,686.8622888026404,69.23854273342252,7.6170295148720015,689.7677784333857,723.7,1
108,722.0,730.0,721.0,723.7,60810.0,2003-06-09,689.5369300518998,70.28720851632389,9.275860131927288,694.2920746422676,724.25,1
109,724.0,730.5,718.1,724.25,82308.0,2003-06-10,693.6242149652938,70.45764190486005,10.564471869993213,698.2864646899652,723.3,0
110,680.0,725.1,680.0,723.3,33307.0,2003-06-11,695.4755264441739,69.71380857875812,11.445954243743131,701.6216027313033,729.9,1
111,724.0,731.0,721.0,729.9,23585.0,2003-06-12,697.433891900025,71.93088783151384,12.476796763769016,705.3920557004628,735.85,1
112,716.1,741.9,716.1,735.85,79883.0,2003-06-13,702.7961781141564,73.7934233421383,13.576839378651698,709.4531149404012,738.05,1
113,739.0,741.95,725.05,738.05,34460.0,2003-06-16,705.97712179163,74.46802997958092,14.481224666718845,713.2660329483476,757.5,1
114,738.0,763.9,738.0,757.5,150730.0,2003-06-17,716.7326567939681,79.49384184691012,16.32976337348839,719.1638952219013,760.9,1
115,757.9,765.0,725.0,760.9,75062.0,2003-06-18,724.4979381556369,80.22657818126217,17.89003471275771,724.7287091923145,751.15,0
116,741.0,762.0,741.0,751.15,39480.0,2003-06-19,728.5022251014523,72.25338965409654,18.35692000294739,728.2515479666725,749.6,0
117,754.95,754.95,736.05,749.6,29500.0,2003-06-20,732.1439721795737,71.04458393760797,18.465078754314618,731.0980082377829,752.05,1
118,759.95,759.95,750.0,752.05,44206.0,2003-06-23,734.9860644258471,71.8463578739852,18.540258999631078,733.8916071394118,725.85,0
119,750.05,750.1,719.0,725.85,110154.0,2003-06-24,735.770822025985,54.47483360814921,16.743999758499058,732.819392854157,736.0,1
120,721.15,740.0,721.15,736.0,61632.0,2003-06-25,736.4537418116549,58.646371792570356,15.793969890288963,733.243473806936,736.35,1
121,718.0,742.95,718.0,736.35,59587.0,2003-06-26,737.4987324008933,58.78661107935359,14.904690894190594,733.6576772993446,744.3,1
122,733.0,751.0,733.0,744.3,117449.0,2003-06-27,738.9698672888982,61.943563005605334,14.561804247736973,735.076653659432,756.6,1
123,750.0,769.0,746.0,756.6,138855.0,2003-06-30,742.7179400368111,66.25094971200681,14.942952684757188,737.9464331715078,749.65,0
124,760.0,766.0,746.0,749.65,65870.0,2003-07-01,744.5064394817942,61.98204909496815,14.665737260975789,739.5069087486402,781.55,1
125,755.0,802.0,750.0,781.55,297959.0,2003-07-02,752.4314960782796,71.1658370261843,16.360529070651296,745.1126542488215,790.2,1
126,784.0,815.0,780.0,790.2,208020.0,2003-07-03,759.799683185807,73.06580895749973,18.134390700337462,751.1243003489786,809.1,1
127,795.0,820.0,790.2,809.1,195010.0,2003-07-04,766.0425218835019,76.68135233835545,20.61551223877086,758.8543936357815,817.1,1
128,815.0,831.0,810.2,817.1,137329.0,2003-07-07,771.9141960838665,78.02595076863945,22.942895252644576,766.6204744843441,828.0,1
129,827.0,833.85,820.0,828.0,114378.0,2003-07-08,776.8266781789548,79.74009673559543,25.311492624734342,774.8044112197649,808.75,0
130,828.0,834.4,802.25,808.75,82940.0,2003-07-09,779.3413723245108,69.4380370319036,25.75087585945755,779.3304897237963,809.95,1
131,810.0,818.5,804.0,809.95,68374.0,2003-07-10,781.1689450195669,69.7008296950081,25.945864392675958,783.4130910939568,827.8,1
132,810.0,838.0,810.0,827.8,102089.0,2003-07-11,784.4098938744876,73.36908635688893,27.01358282391493,789.3313456147627,830.45,1
133,835.0,839.95,822.0,830.45,129433.0,2003-07-14,791.0521772512426,73.87477289225862,27.797295095338427,794.8138328661277,825.6,0
134,825.0,831.0,816.2,825.6,70927.0,2003-07-15,794.3916334026761,71.20966488699767,27.861878605426455,798.918655150644,827.3,1
135,827.65,830.0,824.1,827.3,34010.0,2003-07-16,797.1179111803507,71.5964617691179,27.7672149217924,802.7028344638915,814.55,0
136,830.0,830.0,810.0,814.55,43727.0,2003-07-17,801.442937058631,64.58783521125977,26.614810754797645,804.2824565353726,804.05,0
137,811.9,823.0,801.2,804.05,43136.0,2003-07-18,805.5148047977177,59.428432444810916,24.76434384529341,804.2514623306563,765.85,0
138,803.0,812.0,756.9,765.85,97037.0,2003-07-21,805.9797669843902,45.26247957142878,20.584639797897694,799.1312673532354,772.3,1
139,760.1,792.6,760.0,772.3,130439.0,2003-07-22,808.9561903807464,47.53647717213723,17.437939384501306,795.5537650394708,763.7,0
140,779.8,790.0,756.1,763.7,162682.0,2003-07-23,806.5056124488816,44.860441808855505,14.184965585328428,791.3065963675415,773.55,1
141,769.8,778.0,763.0,773.55,70220.0,2003-07-24,804.6071211500655,48.44054569601196,12.063738767280142,788.9390501852026,786.55,1
